,Name,Code,Year,Current Gross Export,Sector
0,"Textiles, garments, footwear and furniture",0 HS1,1995,3.75,Textiles
1,"Textiles, garments, footwear and furniture",0 HS1,1996,3.69,Textiles
2,"Textiles, garments, footwear and furniture",0 HS1,1997,4.14,Textiles
3,"Textiles, garments, footwear and furniture",0 HS1,1998,3.31,Textiles
4,"Textiles, garments, footwear and furniture",0 HS1,1999,3.12,Textiles
5,"Textiles, garments, footwear and furniture",0 HS1,2000,3.35,Textiles
6,"Textiles, garments, footwear and furniture",0 HS1,2001,3.48,Textiles
7,"Textiles, garments, footwear and furniture",0 HS1,2002,3.23,Textiles
8,"Textiles, garments, footwear and furniture",0 HS1,2003,2.96,Textiles
9,"Textiles, garments, footwear and furniture",0 HS1,2004,3.39,Textiles
10,"Textiles, garments, footwear and furniture",0 HS1,2005,3.21,Textiles
11,"Textiles, garments, footwear and furniture",0 HS1,2006,3.11,Textiles
12,"Textiles, garments, footwear and furniture",0 HS1,2007,3.34,Textiles
13,"Textiles, garments, footwear and furniture",0 HS1,2008,3.05,Textiles
14,"Textiles, garments, footwear and furniture",0 HS1,2009,2.35,Textiles
15,"Textiles, garments, footwear and furniture",0 HS1,2010,3.44,Textiles
16,"Textiles, garments, footwear and furniture",0 HS1,2011,5.80,Textiles
17,"Textiles, garments, footwear and furniture",0 HS1,2012,5.76,Textiles
18,"Textiles, garments, footwear and furniture",0 HS1,2013,5.18,Textiles
19,"Textiles, garments, footwear and furniture",0 HS1,2014,4.31,Textiles
20,"Textiles, garments, footwear and furniture",0 HS1,2015,3.38,Textiles
21,"Textiles, garments, footwear and furniture",0 HS1,2016,3.82,Textiles
22,"Textiles, garments, footwear and furniture",0 HS1,2017,4.34,Textiles
23,"Textiles, garments, footwear and furniture",0 HS1,2018,4.48,Textiles
24,"Textiles, garments, footwear and furniture",0 HS1,2019,3.60,Textiles
25,"Vegetables, animals, wood and paper",1 HS1,1995,13.7,Agriculture
26,"Vegetables, animals, wood and paper",1 HS1,1996,17.3,Agriculture
27,"Vegetables, animals, wood and paper",1 HS1,1997,17.4,Agriculture
