Country,Foreign investment in Australia,Australian investment abroad,Type,Amount,Year,International investment position
United States of America,229164,220635,Foreign investment in Australia,892.2,2001,350.5
United Kingdom,231699,75263,Foreign investment in Australia,892.2,2001,350.5
Japan,49794,25562,Foreign investment in Australia,892.2,2001,350.5
China ,3132,1885,Australian investment abord,541.6,2001,350.5
South Korea ,474,1987,Australian investment abord,541.6,2001,350.5
Singapore,39851,10415,Australian investment abord,541.6,2001,350.5
United States of America,238687,207596,Foreign investment in Australia,955.2,2002,399.2
United Kingdom,253439,93280,Foreign investment in Australia,955.2,2002,399.2
Japan,49494,20119,Foreign investment in Australia,955.2,2002,399.2
China ,2843,1223,Australian investment abord,556,2002,399.2
South Korea ,637,2950,Australian investment abord,556,2002,399.2
Singapore,25139,13536,Australian investment abord,556,2002,399.2
United States of America,287541,230504,Foreign investment in Australia,1044.7,2003,439.0
United Kingdom,259735,95045,Foreign investment in Australia,1044.7,2003,439.0
Japan,46417,21749,Foreign investment in Australia,1044.7,2003,439.0
China ,2989,1350,Australian investment abord,605.7,2003,439.0
South Korea ,618,3784,Australian investment abord,605.7,2003,439.0
Singapore,22233,13079,Australian investment abord,605.7,2003,439.0
United States of America,362279,279734,Foreign investment in Australia,1208.3,2004,488.3
United Kingdom,276387,118223,Foreign investment in Australia,1208.3,2004,488.3
Japan,49144,23975,Foreign investment in Australia,1208.3,2004,488.3
China ,2285,1262,Australian investment abord,720,2004,488.3
South Korea ,1378,3316,Australian investment abord,720,2004,488.3
Singapore,20256,15739,Australian investment abord,720,2004,488.3
United States of America,333987,303118,Foreign investment in Australia,1305.4,2005,529.0
United Kingdom,299740,88625,Foreign investment in Australia,1305.4,2005,529.0
Japan,51023,31752,Foreign investment in Australia,1305.4,2005,529.0
China ,2274,2034,Australian investment abord,776.4,2005,529.0
South Korea ,900,4728,Australian investment abord,776.4,2005,529.0
Singapore,19665,9049,Australian investment abord,776.4,2005,529.0
United States of America,383053,352765,Foreign investment in Australia,1555.3,2006,589.2
United Kingdom,359632,130427,Foreign investment in Australia,1555.3,2006,589.2
Japan,51679,41633,Foreign investment in Australia,1555.3,2006,589.2
China ,3508,3043,Australian investment abord,966.1,2006,589.2
South Korea ,4959,6898,Australian investment abord,966.1,2006,589.2
Singapore,27436,15102,Australian investment abord,966.1,2006,589.2
United States of America,433181,403513,Foreign investment in Australia,1756.3,2007,640.4
United Kingdom,411702,137958,Foreign investment in Australia,1756.3,2007,640.4
Japan,63380,37256,Foreign investment in Australia,1756.3,2007,640.4
China ,6187,5993,Australian investment abord,1116,2007,640.4
South Korea ,7796,9212,Australian investment abord,1116,2007,640.4
Singapore,39168,18493,Australian investment abord,1116,2007,640.4
United States of America,422558,377325,Foreign investment in Australia,1827.7,2008,702.4
United Kingdom,441980,162594,Foreign investment in Australia,1827.7,2008,702.4
Japan,88875,32027,Foreign investment in Australia,1827.7,2008,702.4
China ,8417,7140,Australian investment abord,1125.4,2008,702.4
South Korea ,7178,7575,Australian investment abord,1125.4,2008,702.4
Singapore,43249,23010,Australian investment abord,1125.4,2008,702.4
United States of America,474761,358538,Foreign investment in Australia,1956.6,2009,758.8
United Kingdom,496994,177327,Foreign investment in Australia,1956.6,2009,758.8
Japan,102583,33686,Foreign investment in Australia,1956.6,2009,758.8
China ,16488,6546,Australian investment abord,1197.9,2009,758.8
South Korea ,9206,6611,Australian investment abord,1197.9,2009,758.8
Singapore,41291,22090,Australian investment abord,1197.9,2009,758.8
United States of America,506476,365592,Foreign investment in Australia,2030.1,2010,754.1
United Kingdom,474573,191990,Foreign investment in Australia,2030.1,2010,754.1
