Year,International Investment Position ,Foreign Investment in Australia ,Australian Investment Abroad ,,,,
2001,350.5,892.2,541.6,,,,1
2002,399.2,955.2,556,,,,
2003,439,1044.7,605.7,,,,
2004,488.3,1208.3,720,,,,
2005,529,1305.4,776.4,,,,
2006,589.2,1555.3,966.1,,,,
2007,640.4,1756.3,1116,,,,
2008,702.4,1827.7,1125.4,,,,
2009,758.8,1956.6,1197.9,,,,
2010,754.1,2030.1,1276.1,,,,
2011,798,2107.1,1309.1,,,,
2012,816.8,2271.8,1455,,,,
2013,823.6,2546.7,1723.1,,,,
2014,847.6,2830.9,1983.3,,,,
2015,922.8,3074.1,2151.3,,,,
2016,970.4,3244.2,2273.9,,,,
2017,988.7,3358.2,2369.4,,,,
2018,1027.1,3577.8,2550.7,,,,
2019,934.4,3893.8,2959.4,,,,
2020,947.2,3990.9,3043.7,,,,
