Country,Foreign investment in Australia,Australian investment abroad,Year
United States of America,229164,220635,2001
United Kingdom,231699,75263,2001
Japan,49794,25562,2001
China ,3132,1885,2001
South Korea ,474,1987,2001
Singapore,39851,10415,2001
United States of America,238687,207596,2002
United Kingdom,253439,93280,2002
Japan,49494,20119,2002
China ,2843,1223,2002
South Korea ,637,2950,2002
Singapore,25139,13536,2002
United States of America,287541,230504,2003
United Kingdom,259735,95045,2003
Japan,46417,21749,2003
China ,2989,1350,2003
South Korea ,618,3784,2003
Singapore,22233,13079,2003
