Country,Foreign investment in Australia,Australian investment abroad,Year
United States of America,229164,220635,2001
United Kingdom,231699,75263,2001
Japan,49794,25562,2001
China ,3132,1885,2001
South Korea ,474,1987,2001
Singapore,39851,10415,2001
United States of America,238687,207596,2002
United Kingdom,253439,93280,2002
Japan,49494,20119,2002
China ,2843,1223,2002
South Korea ,637,2950,2002
Singapore,25139,13536,2002
United States of America,287541,230504,2003
United Kingdom,259735,95045,2003
Japan,46417,21749,2003
China ,2989,1350,2003
South Korea ,618,3784,2003
Singapore,22233,13079,2003
United States of America,362279,279734,2004
United Kingdom,276387,118223,2004
Japan,49144,23975,2004
China ,2285,1262,2004
South Korea ,1378,3316,2004
Singapore,20256,15739,2004
United States of America,333987,303118,2005
United Kingdom,299740,88625,2005
Japan,51023,31752,2005
China ,2274,2034,2005
South Korea ,900,4728,2005
Singapore,19665,9049,2005
United States of America,383053,352765,2006
United Kingdom,359632,130427,2006
Japan,51679,41633,2006
China ,3508,3043,2006
South Korea ,4959,6898,2006
Singapore,27436,15102,2006
United States of America,433181,403513,2007
United Kingdom,411702,137958,2007
Japan,63380,37256,2007
China ,6187,5993,2007
South Korea ,7796,9212,2007
Singapore,39168,18493,2007
United States of America,422558,377325,2008
United Kingdom,441980,162594,2008
Japan,88875,32027,2008
China ,8417,7140,2008
South Korea ,7178,7575,2008
Singapore,43249,23010,2008
United States of America,474761,358538,2009
United Kingdom,496994,177327,2009
Japan,102583,33686,2009
China ,16488,6546,2009
South Korea ,9206,6611,2009
Singapore,41291,22090,2009
United States of America,506476,365592,2010
United Kingdom,474573,191990,2010
Japan,118735,30830,2010
China ,19428,12133,2010
South Korea ,9200,7464,2010
Singapore,42058,26193,2010
United States of America,527634,396147,2011
United Kingdom,464290,192646,2011
Japan,125713,36201,2011
China ,19675,17404,2011
South Korea ,12782,9168,2011
Singapore,49582,22551,2011
United States of America,634050,435542,2012
United Kingdom,396409,227665,2012
Japan,158466,41123,2012
China ,23125,21575,2012
South Korea ,13773,10872,2012
Singapore,65318,27300,2012
United States of America,721588,513053,2013
United Kingdom,448740,278819,2013
Japan,164143,52751,2013
China ,50152,37594,2013
South Korea ,18490,13076,2013
Singapore,73512,39472,2013
United States of America,786969,604891,2014
United Kingdom,478470,329094,2014
Japan,187612,72407,2014
China ,66436,57670,2014
South Korea ,21737,15484,2014
Singapore,87449,46494,2014
United States of America,882041,660845,2015
United Kingdom,485694,349840,2015
Japan,206876,94593,2015
China ,75397,62555,2015
South Korea ,23405,15249,2015
Singapore,98718,61022,2015
United States of America,864556,675798,2016
United Kingdom,527588,344353,2016
Japan,223435,109015,2016
China ,85033,83040,2016
South Korea ,24760,17800,2016
Singapore,92049,58749,2016
United States of America,917574,682434,2017
United Kingdom,499068,347841,2017
Japan,226689,125309,2017
China ,64156,77452,2017
South Korea ,26976,19977,2017
Singapore,87444,60021,2017
United States of America,957196,730164,2018
United Kingdom,583843,406599,2018
Japan,234438,113351,2018
China ,68515,79221,2018
South Korea ,30734,21333,2018
Singapore,90202,73539,2018
United States of America,1013510,836840,2019
United Kingdom,687291,510324,2019
Japan,243891,139461,2019
China ,79333,85327,2019
South Korea ,31676,22182,2019
Singapore,100118,83702,2019
United States of America,929402,863645,2020
United Kingdom,737646,615167,2020
Japan,264525,112381,2020
China ,79175,64029,2020
South Korea ,32684,24908,2020
Singapore,116509,63193,2020
